Time,Channel 4
10200,23243
18700,18573
27200,15129
35700,12456
44200,10256
52700,8516
61200,7147
69700,6008
78200,5109
86700,4327
95200,3706
103700,3183
112200,2742
120700,2381
129200,2058
137700,1808
